team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Milwaukee,Horizon,309,349,-22.26,0,0,0,0,0,3,6,21
Minnesota,Big Ten,9,18,5.10,5,7,2,1,6,0,9,0
Mississippi St.,SEC,43,53,-0.87,2,9,1,3,3,1,12,0
Mississippi Valley St.,SWAC,353,319,-19.87,0,3,0,1,0,1,8,18
Missouri,SEC,83,75,-3.07,1,9,1,5,2,2,12,0
Missouri St.,CUSA,115,168,-9.54,0,0,0,2,2,2,20,8
Monmouth,CAA,202,165,-9.38,0,1,0,0,0,0,17,10
Montana,Big Sky,270,290,-17.42,0,2,0,2,0,6,8,12
Montana St.,Big Sky,69,76,-3.17,0,1,1,2,1,3,21,1
Morehead St.,OVC,194,171,-9.76,0,3,0,0,2,3,15,8
Morgan St.,MEAC,351,337,-21.12,0,3,0,2,0,0,4,20
Mount St. Mary's,MAAC,281,215,-12.51,0,2,0,1,0,2,15,10
Murray St.,MVC,88,48,-0.03,0,2,1,0,2,1,26,0
N Dakota St,Summit League,47,49,-0.49,1,1,0,2,4,1,21,0
N.C. A&T,CAA,261,237,-14.02,0,4,0,0,0,2,8,12
N.C. Central,MEAC,317,275,-16.53,0,3,0,0,0,1,7,16
Navy,Patriot,129,109,-6.05,0,1,1,1,1,0,19,6
NC State,ACC,26,28,2.60,3,9,5,1,4,0,8,0
Nebraska,Big Ten,28,39,1.04,1,10,4,1,2,1,11,0
Nebraska Omaha,Summit League,355,342,-21.69,0,2,0,6,0,2,4,17
Nevada,Mountain West,241,307,-18.27,0,0,0,2,1,6,8,13
New Hampshire,America East,278,288,-17.33,0,1,0,0,0,4,8,15
New Haven,NEC,350,335,-21.10,0,0,0,1,0,0,5,21
New Mexico,Mountain West,113,117,-6.68,0,0,1,3,1,3,20,4
New Mexico St.,CUSA,301,312,-18.56,0,1,0,1,0,3,6,16
New Orleans,Southland,349,351,-22.82,0,2,0,1,0,3,3,20
Niagara,MAAC,360,357,-24.88,0,2,0,2,0,2,1,22
