source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,team_raw,seed,is_play_in,scraped_at_iso,canonical_slug,team_display,ncaa_id,espn_id,conference,resolution_method,resolution_confidence
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Rhode Island,10,False,2026-03-12T05:31:32+00:00,rhode-island,Rhode Island,,,A10,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,LSU,2,False,2026-03-12T05:31:32+00:00,lsu,LSU,,,SEC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Abilene Christian,15,False,2026-03-12T05:31:32+00:00,abilene-christian,Abilene Christian,,,WAC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,South Carolina,1,False,2026-03-12T05:31:32+00:00,south-carolina,South Carolina,,,SEC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Alabama A&M,16,False,2026-03-12T05:31:32+00:00,alabama-a-and-m,Alabama A&M,,,SWAC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Iowa St.,8,False,2026-03-12T05:31:32+00:00,iowa-state,Iowa St.,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Villanova,9,False,2026-03-12T05:31:32+00:00,villanova,Villanova,,,BE,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Ole Miss,5,False,2026-03-12T05:31:32+00:00,ole-miss,Ole Miss,,,SEC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Montana St.,12,False,2026-03-12T05:31:32+00:00,montana-state,Montana St.,,,BSky,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Minnesota,4,False,2026-03-12T05:31:32+00:00,minnesota,Minnesota,,,B10,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Colorado St.,13,False,2026-03-12T05:31:32+00:00,colorado-state,Colorado St,,,MWC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Notre Dame,6,False,2026-03-12T05:31:32+00:00,notre-dame,Notre Dame,,,ACC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,South Dakota St.,11,False,2026-03-12T05:31:32+00:00,south-dakota-state,South Dakota St,,,Sum,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,TCU,3,False,2026-03-12T05:31:32+00:00,tcu,TCU,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,McNeese,14,False,2026-03-12T05:31:32+00:00,mcneese-state,McNeese St,,,Slnd,alias,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Georgia,7,False,2026-03-12T05:31:32+00:00,georgia,Georgia,,,SEC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Syracuse,10,False,2026-03-12T05:31:32+00:00,syracuse,Syracuse,,,ACC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Iowa,2,False,2026-03-12T05:31:32+00:00,iowa,Iowa,,,B10,new,100.0
