canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
east-tennessee-state,East Tennessee St.,SoCon,East Tennessee St.,SoCon,247,182,-10.21,0,3,0,0,0,0,16,10,East Tennessee St.,SC,247,.2449,1,1
east-texas-a-and-m,East Texas A&M,Southland,East Texas A&M,Southland,289,244,-14.39,0,2,0,0,0,2,11,13,East Texas A&M,Slnd,292,.1258,1,1
eastern-illinois,Eastern Illinois,OVC,Eastern Illinois,OVC,317,352,-22.90,0,2,0,2,0,5,4,18,Eastern Illinois,OVC,310,.0863,1,1
e-kentucky,Eastern Kentucky,ASUN,Eastern Kentucky,ASUN,110,108,-5.92,0,1,0,0,1,1,21,6,Eastern Kentucky,ASun,121,.6591,1,1
eastern-michigan,Eastern Michigan,MAC,Eastern Michigan,MAC,196,216,-12.52,0,1,0,3,0,4,12,8,Eastern Michigan,MAC,221,.3296,1,1
eastern-washington,Eastern Washington,Big Sky,Eastern Washington,Big Sky,209,256,-15.03,0,0,0,3,1,5,12,10,Eastern Washington,BSky,201,.3733,1,1
elon,Elon,CAA,Elon,CAA,212,226,-12.99,0,1,0,0,0,3,14,11,Elon,CAA,220,.3315,1,1
evansville,Evansville,MVC,Evansville,MVC,277,336,-21.10,0,1,0,1,1,3,6,19,Evansville,MVC,271,.1849,1,1
fairfield,Fairfield,MAAC,Fairfield,MAAC,53,45,0.30,2,2,0,0,3,1,23,1,Fairfield,MAAC,61,.8885,1,1
fdu,FDU,NEC,FDU,NEC,132,67,-2.58,0,1,0,1,0,0,26,2,Fairleigh Dickinson,NEC,130,.6142,1,1
fiu,FIU,CUSA,FIU,CUSA,174,141,-8.14,0,0,0,2,0,2,19,6,FIU,CUSA,166,.4988,1,1
florida,Florida,SEC,Florida,SEC,48,62,-2.22,2,10,1,1,3,3,12,1,Florida,SEC,38,.9526,1,1
florida-a-and-m,Florida A&M,SWAC,Florida A&M,SWAC,339,325,-20.33,0,0,0,2,0,1,8,19,Florida A&M,SWAC,341,.0366,1,1
florida-atlantic,Florida Atlantic,American,Florida Atlantic,American,239,251,-14.78,0,0,0,3,1,5,12,10,Florida Atlantic,Amer,241,.2692,1,1
florida-gulf-coast,Florida Gulf Coast,ASUN,Florida Gulf Coast,ASUN,159,197,-10.93,0,1,1,2,1,4,12,8,Florida Gulf Coast,ASun,157,.5303,1,1
florida-state,Florida St.,ACC,Florida St.,ACC,108,144,-8.38,0,9,0,9,3,2,7,1,Florida St.,ACC,99,.7495,1,1
fordham,Fordham,Atlantic 10,Fordham,Atlantic 10,259,279,-16.55,0,1,0,5,0,2,9,12,Fordham,A10,256,.2272,1,1
fresno-state,Fresno St.,Mountain West,Fresno St.,Mountain West,175,239,-14.15,0,1,0,4,0,6,14,7,Fresno St.,MWC,155,.5450,1,1
furman,Furman,SoCon,Furman,SoCon,246,173,-9.72,0,2,0,3,0,0,14,8,Furman,SC,263,.2055,1,1
gardner-webb,Gardner Webb,Big South,Gardner Webb,Big South,328,298,-17.73,0,1,0,0,0,1,12,17,Gardner Webb,BSth,332,.0489,1,1
george-mason,George Mason,Atlantic 10,George Mason,Atlantic 10,60,61,-2.12,1,3,3,3,2,1,17,2,George Mason,A10,63,.8823,1,1
george-washington,George Washington,Atlantic 10,George Washington,Atlantic 10,173,225,-12.98,0,0,1,5,0,3,13,9,George Washington,A10,177,.4628,1,1
georgetown,Georgetown,Big East,Georgetown,Big East,95,160,-8.87,0,5,1,3,3,3,10,6,Georgetown,BE,75,.8346,1,1
georgia,Georgia,SEC,Georgia,SEC,34,25,3.15,3,8,2,1,6,0,11,0,Georgia,SEC,31,.9715,1,1
georgia-southern,Georgia Southern,Sun Belt,Georgia Southern,Sun Belt,75,66,-2.56,0,2,2,2,1,2,19,1,Georgia Southern,SB,78,.8271,1,1
georgia-state,Georgia St.,Sun Belt,Georgia St.,Sun Belt,232,281,-16.74,0,2,1,3,0,3,7,13,Georgia St.,SB,249,.2393,1,1
georgia-tech,Georgia Tech,ACC,Georgia Tech,ACC,74,109,-5.97,1,9,2,6,2,2,9,1,Georgia Tech,ACC,60,.8885,1,1
